Order ID,Order Date,Customer Name,Region,State,Category,Product,Quantity,Discount,Sales,Profit,Salesperson,Payment Mode,Month,Year,Profit Margin
ORD1001,2025-02-22,Customer 1,North,Haryana,Electronics,Tablet,2,0.05,41800.0,3917.56,Priya,Net Banking,Feb,2025,0.09372153110047847
ORD1002,2025-11-05,Customer 2,West,Maharashtra,Electronics,Laptop,1,0.05,52250.0,5724.11,Neha,Net Banking,Nov,2025,0.10955234449760765
ORD1003,2025-01-04,Customer 3,West,Maharashtra,Furniture,Cabinet,5,0.1,42750.0,8875.04,Rohit,Debit Card,Jan,2025,0.2076032748538012
ORD1004,2025-02-19,Customer 4,East,Odisha,Furniture,Desk,3,0.0,36000.0,3087.6,Anjali,Net Banking,Feb,2025,0.08576666666666666
ORD1005,2025-07-13,Customer 5,East,West Bengal,Electronics,Headphones,5,0.0,22500.0,5297.17,Vikas,Net Banking,Jul,2025,0.2354297777777778
ORD1006,2025-02-10,Customer 6,East,West Bengal,Furniture,Office Chair,1,0.05,8075.0,1626.48,Priya,Cash,Feb,2025,0.20142167182662538
ORD1007,2025-12-10,Customer 7,East,Odisha,Accessories,Wallet,2,0.1,2160.0,281.66,Priya,Net Banking,Dec,2025,0.13039814814814815
ORD1008,2025-11-24,Customer 8,South,Telangana,Furniture,Desk,4,0.15,40800.0,4728.36,Neha,Debit Card,Nov,2025,0.11589117647058823
ORD1009,2025-04-19,Customer 9,North,Haryana,Furniture,Office Chair,3,0.15,21675.0,2503.81,Anjali,Credit Card,Apr,2025,0.11551603229527105
ORD1010,2025-10-15,Customer 10,West,Rajasthan,Accessories,Sunglasses,2,0.1,3240.0,303.71,Vikas,Net Banking,Oct,2025,0.09373765432098764
ORD1011,2025-02-16,Customer 11,West,Maharashtra,Accessories,Wallet,2,0.05,2280.0,357.09,Priya,Credit Card,Feb,2025,0.15661842105263157
ORD1012,2025-08-28,Customer 12,South,Telangana,Accessories,Backpack,4,0.15,7480.0,1281.33,Vikas,Net Banking,Aug,2025,0.17130080213903742
